Code,Move,Domain,Type,Resources,Key_Words
1224,Reject request for military protection or peacekeeping,Miltary,Reject,"Political, Legitimacy, Military","Reject appeals for peacekeepers, reject appeal for military protetection, refuse to send military protection, refuse to receive/send peacekeepers"
123,Reject request or demand for political reform,Political,Reject,"Political, Legitimacy","Reject appeals for political reform, refuse to comply with requests for political change"
1231,Reject request for change in leadership,Political,Reject,Political,"Refuse appeals to step down, reject requests for a change in leadership, spurn appeals for a leadership change"
1232,Reject request for policy change,Political,Reject,Political,"Refuse appeals to change policy, spurn requests for a change in policy, dismiss requests for policy change"
1233,Reject request for rights,Political,Reject,"Political, Diplomacy","Dismiss appeals for rights, refuse requests for increased rights, spurn/scorn requests for more rights"
1234,Reject request for change in institutions,Political,Reject,"Information, Political","Refuse appeals for institutional change, dismiss requests for a change in policy, spurn entreaties for policy change"
124,Refuse to yield,Political,Reject,"Military, Political, Legitimacy","Defend, assert, counter, deny, rise, oppose, prevent, veto"
1241,Refuse to ease administrative sanctions,Political,Reject,"Economic, Political","Decline to lessen adminsistrative sanctions, decide not to ease administrative sanctions"
1242,Refuse to ease popular dissent,Political,Reject,"Social, Political","Rebuff attempts to cooperate politically, decline  to lessen political dissent, decide not to contribute to the easing of dissent"
1243,Refuse to release persons or property,Political,Reject,"Material/Human, Political","Refuse to release property/persons, prevent the release of property/prisoners, withold confistacted/stolen persons or property"
1244,"Reject to ease economic sanctions, boycott, or embargo",Economic,Reject,"Economic, Information, Military, Political","Refuse to ease economic sanctions, prevent the easing of trade sanctions, nto cooperate on lessening economic sanctions, desist from easing administrative sanctions"
1245,Refuse to allow international involvement (non-mediation),Diplomatic,Reject,"Diplomacy, Political, Information","Refuse international involvement, rebuff international involvement, spurn international involvement"
1246,Refuse to de-escalate military engagement,Military,Reject,"Military, Political","Refuse to lessen involvement in conflict, prevent the lessening of conflict, refuse to disengage from the conflict, not cooperate on military de-escalation"
125,"Reject proposal to meet, discuss, or negotiate",Diplomatic,Reject,"Diplomacy, Political, Information","Refuse to discuss, dismiss/spurn the change to meet, decline to meet/negotiate"
126,Reject mediation,Diplomatic,Reject,"Diplomacy, Political, Information","Choose to argue, oppose mediation, challenge mediation, ignore attempts at mediation"
127,"Reject plan, agreement to settle dispute",Diplomatic,Reject,"Diplomacy, Political, Information","Refuse third party intervention, spurn mediation, rebuff attempts at mediaition"
128,"Defy norms, law",Diplomatic,Reject,"Diplomacy, Military","Challenge norms, confront norms, oppose norms, ignore norms, face norms, disregard norms"
129,Veto,Political,Reject,"Political, Legitimacy","Deny, turn down, blackball, disallow, disapprove, ban, prohibit, decline, negate, rule out"
1290,Recall ambassador,Political,Reject,"Political, Legitimacy",
1291,Refuse to reduce censorship,Information,Reject,"Political, Information, Legitimacy",
1293,"Refuse to build energy infrastructure, not specified",Infrastructure,Reject,"Natural, Political, Infrastructure",
1297,"Refuse to build social infrastructure, not specified",Infrastructure,Reject,"Political, Economic, Infrastructure",
1302,"Refuset to build political infrastructure, not specified",Infrastructure,Reject,"Political, Economic, Infrastructure",
1306,"Refuse to build military infrastructure, not specified",Infrastructure,Reject,"Political, Economic, Military, Infrastructure",
1310,"Refuse to build/increase information infrastructure, not specified",Infrastructure,Reject,"Poltitical, Economic, Infrastructure",
1313,"Refuse to build/increase economic infrastructure, not specified",Infrastructure,Reject,"Political, Economic, Information",
130,Threaten,Diplomatic,Threaten,"Diplomacy, Military, Information","Intimidate, menace, coerce, bully, enforce, admonish, scare, torment, make a threat"
131,Threaten non-force,Diplomatic,Threaten,"Diplomacy, Political, Information","Pressure, scare, bluster, browbeat, bully, coerce, admonish"
1311,Threaten to reduce or stop aid,Diplomatic,Threaten,"Diplomacy, Economic, Information","Promise to cease aid if they do not comply, make a threat to end aid, pressure by stopping aid"
1312,"Threaten with sanctions, boycott, embargo",Diplomatic,Threaten,"Diplomacy, Economic, Information","Initimidate with sanctions, admonish that they will enforce sanctions, admonish that sanctions will continue, browbeat with more sanctions"
1313,Threaten to reduce or break relations,Diplomatic,Threaten,"Diplomacy, Political, Information","Promise to end relations, intimidate with reduced relations, admonish that diplomatic relations will end, make a threat to reduce/end aid"
132,Threaten with administrative sanctions,Political,Threaten,"Human, Political","Pressure with administrative sanctions, admonish with increased administrative sanctions, make a threat involving administrative sanctions"
1321,Threaten with restrictions on political freedoms,Political,Threaten,"Legitimacy, Political","Promise to reduce political freedom/rights, intimidate with the threat of reduced freedoms, make a threat to reduce political freedoms"
13211,Threaten to reduce information outlets,Information,Threaten,"Political, Information, Legitimacy",
1312,Threaten to increase censorhip,Information,Threaten,"Political, Information, Legitimacy",
1322,Threaten to ban political parties or politicians,Political,Threaten,"Legitimacy, Political","Pressure existing political parties, intimidate political parties, make a threat to outlaw political parties, coerce political parties with the threat of their banning"
1323,Threaten to impose curfew,Political,Threaten,"Legitimacy, Political","Promise to impose curfew, admonish that a curfew would be instated, bully with the threat of a curfew"
1324,Threaten to impose state of emergency or martial law,Political,Threaten,"Legitimacy, Military","Pressure with the threat of martial law, promise to impose martial law, admonish that state of emergency will be declared, intimidate with the threat of martial law/state of emergency"
133,Threaten political dissent,Political,Threaten,"Political, Legitimacy","Promise to protest, pressure with the threat of politcal dissent, intimidate the government with threats of protests, admonish that protests/political dissent would occur"
134,Threaten to halt negotiations,Diplomatic,Threaten,"Political, Diplomacy, Legitimacy","Promise to end negotiations, pressure by threatening to cease negotiations, admonish that they would end/halt negotiations"
135,Threaten to halt mediation,Diplomatic,Threaten,"Political, Diplomacy, Legitimacy","Pressure by promising to end mediation, intimidating with the threat of ending mediatation"
136,Threaten to halt international involvement,Diplomatic,Threaten,"Diplomacy, Legitimacy, Political","Pressure with the threat of ending international involvement, promise to end international involvement if they do not comply, admonish that international aid/involvement would come to a halt"
137,Threaten with repression,Political,Threaten,"Legitimacy, Military","Pressure with control, promise suppression, admonish that repression would be increased, make a threat of suppression"
138,"Threaten with military force, not specified",Military,Threaten,"Legitimacy, Military","Promise to involve the military, inimidate with the military, make a threat to take military action"
1381,Threaten blockade,Military,Threaten,"Material, Legitimacy, Military","Make a threat to continue the seige/blockade, promise to blockade, pressure with the threat of a blockade, intimidate with a seige"
1382,Threaten occupation,Military,Threaten,"Legitimacy, Military, Political","Threaten invasion, intimidate with takeover, make a threat to conquer, threaten to take over"
1383,Threaten unconventional attack,Military,Threaten,"Legitimacy, Military","Guerrilla, terrorist, target civilians, assymetric warfare, unconventional warfare, capture/kidnap, suicide bombing"
13831,Threaten cyber attack,Military,Threaten,"Legitimacy, Military",
1384,Threaten conventional attack,Military,Threaten,"Legitmacy, Military, Human","Launch missile, deploy forces, coordiante an attack, "
1385,Threaten unconventional mass violence,Military,Threaten,Military,"Chemical warfare, mass killings, genocide, biological warfare"
1386,Violate airspace,Military,Threaten,Military,
1387,Violate inland waters,Military,Threaten,Military,
139,Give ultimatum,Political,Threaten,"Political, Legitimacy, Military","Final warning, last offer, last chance, final terms, threaten with ultimatum"
140,Engage in political dissent,Political,Protest,"Political, Legitimacy","Oppose, protest, challenge status quo,"
141,Demonstrate or rally,Political,Protest,"Human, Social","Gather, organize, assemble, join a demonstration/rally, protest, gather dissenters, dissent as a group, march"
1411,Demonstrate for leadership change,Political,Protest,"Human, Political","Protest for change in leadership, challenge for leadership change, assemble for a change in leadership, rally for policy change"
1412,Demonstrate for policy change,Political,Protest,"Human, Political","Protest for policy change, challenge for change in leadership, assemble/organize for a change in policy, rally for policy change"
1413,Demonstrate for rights,Political,Protest,"Human, Social","Rally for rights, assemble for rights, protest for more rights, organize dissent for rights"
1414,"Demonstrate for change in institutions, regime",Political,Protest,"Human, Political","Rally for instittional change, assemble for a change in institutions, protest for institutional change, organzie for institutional change"
142,Conduct hunger strike,Political,Protest,"Human, Social","Fasting for a cause, religious fasting, voluntary fast"
1421,Conduct hunger strike for leadership change,Political,Protest,"Human, Social, Political","Fast for leadership change, fast voluntarily for a change in leadership"
1422,Conduct hunger strike for policy change,Political,Protest,"Human, Social, Political","Fast for policy change, fast voluntarily for a change in policy"
1423,Conduct hunger strike for rights,Political,Protest,"Human, Social","Fast for rights, fast voluntarily for rights, hunger strike to demand rights"
1424,"Conduct hunger strike for change in institutions, regime",Political,Protest,"Human, Political, Legitimacy","Fast for institution changes, fast volunarily for changes in the institution, hunger strike to demand a change in the institution"
143,Conduct strike or boycott,Political,Protest,"Human, Political","Arbitrate, mutiny, revolt, resist, go on strike, ban, refrain from using, blackball, blacklist, prohibit, avoid"
1431,Conduct strike or boycott for leadership change,Political,Protest,"Human, Political","Arbitrate for leadership change, mutiny for leadership change, revolt for leadership change, go on strike for a leadership"
1432,Conduct strike  or boycott for policy change,Political,Protest,"Human, Political","Abritrate for policy change, mutinty for policy change, revolt for policy change"
1433,Conduct strike or boycott for rights,Political,Protest,"Human, Social","Arbitrate for rights, mutinty for rights, revolt for rights"
1434,Conduct strike or boycott for change in institutions,Political,Protest,"Human, Political, Information","Revolt for institution change, mutiny for change in institutions, arbitrate for change in institutions"
144,"Obstruct passage, block",Political,Protest,"Natural, Human","Hinder, blockage, prevent them from continuing, seige"
1441,Obstruct passage to demand leadership change,Political,Protest,"Natural, Social, Human","Blockade for leadership change, occupy for leadership change"
1442,Obstruct passage to demand policy change,Political,Protest,"Natural, Political","Blockade for policy change, occupy for policy change"
1443,Obstruct passage to demand rights,Political,Protest,"Natural, Social, Human","Blockage for rights, occupy for rights"
1444,Obstruct passage to demand change in institutions,Political,Protest,"Natural, Political","Stonewall, impede, hamper, hamstring, shut down, slow down, barricade, hold up, close off, deter"
145,"Protests violently, riot",Political,Protest,"Human, Political","Rebel, rampage, rise up, take to the streets, stir up trouble, agitate protesters, debauch, revolt"
1451,Engage in violent protest for leadership change,Political,Protest,"Human, Political","Revolt for leadership change, rebel for leadership change, riot for leadership change"
1452,Engage in violent protests for policy change,Political,Protest,"Human, Political","Revolt for policy change, rebel for policy change, riot for policy change"
1453,Engage in violent protests for rights,Political,Protest,"Human, Political","Revolt for rights, rebel for rights, riot for rights"
1454,Engage in violent protest for change in institutions,Political,Protest,"Human, Political","Revolt for change in institutions/institutional change, rebel for institutions/institutional change, riot for institutions/institutional change"
150,Demonstrate military or police power,Military,Exhibit force posture,"Military, Human, Political","Conduct military/police exercises, parade military/police forces"
151,Increase police alert status,Military,Exhibit force posture,"Military, Information",Raise the alert level in the police
152,Increase military alert status,Military,Exhibit force posture,"Military, Information",Raise the military alert level
153,Mobilize or increase police power,Military,Exhibit force posture,"Military, Economic","Marshall police power, prepare police forces, "
154,Mobilize or increase armed forces,Military,Exhibit force posture,"Military, Economic","Marshall military power, prepare armed forces, mobilize military"
155,Mobilize or increase cyber-forces,Military,Exhibit force posture,"Information, Economic","Marshall cyber power, prepare cyber forces, mobilize a cyber attack"
160,Reduce relations,Diplomatic,Reduce relations,"Diplomacy, Political","Decrease relations, lessen interactions, reduce ties, decrease diplomatic ties"
161,Reduce or break diplomatic relations,Diplomatic,Reduce relations,"Diplomacy, Political","Decrease diplomatic ties, lessen diplomatic interactions, reduce diplomatic ties, cut off diplomatic interactions/ties"
162,"Redue or stop material aid, not specified",Economic,Reduce relations,"Political, Economic","Decrease aid, lessen aid, reduce aid/help, cut off aid"
1621,Reduce or stop economic assistance,Economic,Reduce relations,"Economic, Legitimacy, Political","Decrease economic assistance, lessen economic aid, cut off economic aid"
1622,Reduce or stop military assistance,Military,Reduce relations,"Military, Legitimacy, Political","Decrease military aid, lessen assistance with the military, cut off military ties/assistance, end military sharing agreement"
1623,Reduce or stop humanitarian assistance,Diplomatic,Reduce relations,"Diplomacy, Political, Economic","Decrease humanitarian aid, lessen humanitarian assistance, cut off humanitarian assistance/aid, end humanitarian aid"
163,"Impose embargo, boycott, or sanctions",Economic,Reduce relations,"Economic, Legitimacy, Political","Strike, prohibit, ban, refrain from using/buying/selling, prevent from using/buying/selling"
164,Halt negotiations,Diplomatic,Reduce relations,"Diplomacy, Political","Cease negotiating, end negotiations, cut off negotiations, refrain from negotiating, refuse negotiation"
165,Halt mediation,Diplomatic,Reduce relations,"Diplomacy, Political","End mediation, cease mediation, cut off mediation, refrain from mediating, refuse mediation"
166,Expel or withdraw,Diplomatic,Reduce relations,"Diplomacy, Political","Throw out, banish, ban, exclude, deport, discharge, eject, eliminate, suspend, retreat, disengage, leave, extract, recede, detach, drop out"
1661,Expel or withdraw peacekeepers,Diplomatic,Reduce relations,"Diplomacy, Political","Ban peacekeepers, deport peacekeepers, exclude peacekeepers, discharge peacekeeprs, suspend peacekeepers, pull peacekeepers back"
1662,"Expel or withdraw inspectors, observers",Diplomatic,Reduce relations,"Diplomacy, Political","Ban inspectors, deport inspectors, bar inspectors, discharge inspectors, supsend inspectors, pull back inspectors, remove inspectors"
1663,Expel or withdraw aid agencies,Diplomatic,Reduce relations,"Diplomacy, Political","Ban foreign aid, deport foreign aid workers, discharge foreign aid workers, supsend foreign aid workers/operations, pull foreign aid workers back, reduce foreign aid operations"
170,Coerce,Military,Coerce,Military,"Threaten, intimidate, force, force compliance, pressure"
171,Seize or damage property,Military,Coerce,"Material, Military, Legitimacy","Confiscate, apprehend, capture, commandeer, appropriate, destroy, harm, contaminate, tarnish, dismantle"
1711,Confiscate property,Military,Coerce,"Material, Military, Legitimacy","Seize property, capture property, commandeer property, appropriate"
1712,Destroy property,Military,Coerce,"Military, Infrastructure","Destroy property, harm property, contaminate property, tarnish property"
172,"Impose administrative sanctions, not specified",Political,Coerce,"Economic, Political, Legitimacy","Set sanctions, put sanctions in place, enforce sanctions, institute sanctions, introduce sanctions, levy sanctions"
1721,Impose restrictions on political freedoms,Political,Coerce,"Political, Legitimacy","Reduce political freedoms, institute reduced political freedoms, introduce bans on political freedoms"
1722,Ban political parties or politicians,Political,Coerce,"Political, Legitimacy","Boycott political parties, prohitit political parties, embargo political parties, enforce an injunction against political parties, restrict political parties, supress political parties"
1723,Impose curfew,Political,Coerce,"Poliitcal, Military (?)","Establish curfew, enforce curfew, institute a curfew, ordain a curfew, introduce a curfew"
1724,Impose state of emergency or martial law,Political,Coerce,"Political, Military","Establish martial law, enforce martial law, institute a state of emergency, ordain a state of emergency, introduce martial law/a state of emergency"
173,"Arrest, detain, or charge with legal action",Political,Coerce,"Political, Military","Capture, incarcerate, jail, apprehend, confine, commit, take captive, take into custody"
174,Expel or deport individuals,Military,Coerce,"Military, Political","Eject, dispel, exile dismiss, relegate, extradite, expatriate, oust"
175,Use tactics of violence repression,Military,Coerce,"Military, Economic","Stifle a rebellion, squelch a revolt, overpower, violently, silence, subdue, quash, quell"
176,Attack cybernetically,Military,Coerce,"Military, Information","Threaten the network, dismantle their network, infect network/system with a virus, hack, steal intel via a cyber attack, conduct a cyber attack"
180,Use unconvenitional violence,Military,Assault,"Military, Economic","Bomb, suicide bomb, kidnap, guerilla attack, roadside bombing, improvised explosive device (IED), assasinate"
181,"Abduct, hijack, or take hostage",Military,Assault,Military,"Kidnap, capture, take prisoner, abduct, hijack, pirate, ransom"
182,Physically assault,Military,Assault,Military,"Attack, assail, invade, strike, abuse, violate"
1821,Sexually assault,Military,Assault,Military,"Rape, violate, assail, assault, force, abduct, plunder, ransack, despoil"
1822,Torture,Military,Assault,Military,"Torment, abuse, maim, agonize, afflict, persecute, excruciate, bother, beat, maim"
1823,Kill by phsyical assault,Military,Assault,Military,"Stab, knife, fatally wound, fatally injure, mortally wound"
183,"Conduct suicide, car, or other non-military bombing",Military,Assault,"Military, Economic, Natural","Conduct unconventional attack, conduct guerilla attack, conduct assymetric attack, roadside bombing, suicide bombing, car bombing"
1831,Conduct cyber attack,Military,Assault,"Military, Economic, Natural",
1831,Carry out suicide bombing,Military,Assault,"Military, Economic, Natural","Martyr, suicide attack, proxy bombing, "
1832,Carry out vehicular bombing,Military,Assault,"Military, Economic, Natural","Blow up car, car bomb, car IED"
1833,Carry out roadside bombing,Military,Assault,"Military, Economic, Natural","Street bomb, roadside IED"
1834,Carry out location bombing,Military,Assault,"Military, Economic, Natural","Bomb a building, bomb a school, bomb a center, bomb a church/temple/mosque, bomb a square, set off bomb in church/temple/mosque/building/school/center/square"
184,Use as a human shield,Military,Assault,Military,"Give cover, ward off attack, block shot with another person/body"
185,Attempt to assassinate,Military,Assault,Military,"Assisination attempt, tried to assasinate, attempt to murder"
186,Assassinate,Military,Assault,Military,"Murder, kill, execute"
190,Use conventional violence,Military,Fight,"Military, Economic","Fight, fight with weapons, march against, conduct military strike, conduct military operation against"
191,"Impose blockade, restrict movement",Military,Fight,"Military, Economic, Natural","Lay seige to, beseige, hinder, seize, impose a blockade, occupy"
192,Occupy territory,Military,Fight,"Military, Economic, Natural","Conquer, annex, overrun, acquire territory"
193,Fight with small arms and light weapons,Military,Fight,"Military, Economic","Launch small arms and light weapons, fire small arms and light weapons, engage with small arms and light weapons"
194,Fight with artillery tanks,Military,Fight,"Military, Economic","Fire artillery tanks,  engage with artillery tanks"
195,"Employ aerial weapons, not specified",Military,Fight,"Military, Economic","Fire aerial weapons, engage with aerial weapons launch aerial weapons"
1951,Employ precision-guided aerial munitions,Military,Fight,"Military, Economic, Natural","Launch precision-guided aerial munitions, engage with precision-guided aerial munitions, fire precision-guided aerial munitions"
1952,Employ remotely piloted aerial munitions,Military,Fight,"Military, Economic, Natural","Launch remotely piloted aerial munitions, engage with remotely piloted aerial munitions, fire remotely piloted aerial munitions, drones, UAVs"
196,Violate ceasefire,Military,Fight,"Military, Economic","Violate armistice, violate truce, end suspension of hostilities, stop ceasefire, end ceasefire"
200,Use unconventional mass violence,Military,Use unconventional mass violence,"Military, Economic","Genocide attack, chemical bomb/warfare, biological warfare, ethnic cleansing, carry out genocide/ethnic cleansing, mass killing/execution"
201,Engage in mass expulsion,Military,Use unconventional mass violence,"Military, Economic","Mass expatriation, mass deportation"
202,Engage in mass killings,Military,Use unconventional mass violence,"Military, Economic","Conduct mass killings, take place in genocide"
203,Engage in ethnic cleansing,Military,Use unconventional mass violence,"Military, Economic","Conduct genocide, engage in ethnic cleansing, "
204,Use weapons of mass destruction,Military,Use unconventional mass violence,"Military, Economic","WMDs, deploy WMDs, launch WMDs"
2041,"Use chemical, biological, or radiological weapons",Military,Use unconventional mass violence,"Military, Economic","Chemical warfare, biological warfare, radiation bomb, chemical bomb, biological bomb"
2042,Detonate nuclear weapons,Military,Use unconventional mass violence,"Military, Economic","Explode nuclear weapons, discharge nuclear weapons, shoot off nuclear weapons, blast nuclear weapons"
2043,Build a religious following,Social,Use social following,"Human, Legitimacy, Social",
2044,Build an ethno-political following,Social,Use social following,"Human, Legitimacy, Social",
2045,Build an internet following,Social,Use social following,"Human, Legitimacy, Social, Technology",
2046,Increase censorship,Information,Control information,"Information, Political, Legitimacy",
2047,Reduce information outlets,Information,Control information,"Information, Political, Legitimacy",
2048,Build energy infrastructure (unspecified),Infrastructure,Build energy infrastructure,"Natural, Economic, Infrastructure",
2052,Build social infrastructure (unspecified),Infrastructure,Build social infrastructure,"Social, Economic Infrastructure",
2057,Build political infrastructure (unspecified),Infrastructure,Build political infrastructure,"Political, Economic, Infrastructure",
2061,Build military infrastructure (unspecified),Infrastructure,Build military infrastructure,"Military, Economic, Infrastructure",
2065,Build/increase information infrastructure (unspecified),Infrastructure,Build information infrastructure,"Economic, Information, Legitimacy",
2068,Build/increase economic infrastructure (unspecified),Infrastructure,Build economic infrastructure,"Economic, Legitimacy, Political",
2074,Gather/mine natural resources (unspecified),Natural,Gather/mine for materials,"Natural, Economic",
2077,Raise oil prices,Economic,Change price,"Natural, Economic",
2078,Lower oil prices,Economic,Change price,"Natural, Economic",
2079,Raise energy prices,Economic,Change price,"Natural, Economic",
2080,Lower energy prices,Economic,Change price,"Natural, Economic",
2081,Raise energy prices,Economic,Change price,"Natural, Economic",
2082,Spend more government funds on alternative energy,Natural,Government funds,"Natural, Economic, Political",
2083,Spend less government funds on alternative energy,Natural,Government funds,"Natural, Economic, Political",
